Year (dec),E (m),N (m),Z (m),eUnc,nUnc,zUnc,eCov,nCov,zCov,Year,Month,Day
2014.72689938,0.603105,0.142810,-0.107601,0.000915,0.000738,0.003657,0.022117,-0.029565,-0.033592,2014,9,23
2014.72963723,0.599480,0.143637,-0.104784,0.000906,0.000728,0.003637,0.026000,-0.035271,-0.036325,2014,9,24
2014.73237509,0.599798,0.140902,-0.099168,0.000891,0.000723,0.003608,0.018323,-0.035162,-0.019295,2014,9,25
2014.73511294,0.599837,0.141637,-0.103442,0.000862,0.000706,0.003483,0.032965,-0.027955,-0.015420,2014,9,26
2014.73785079,0.601911,0.142622,-0.100092,0.000904,0.000745,0.003659,0.027160,-0.017152,-0.034167,2014,9,27
2014.74058864,0.601520,0.142282,-0.099755,0.000891,0.000729,0.003624,0.026141,-0.032089,-0.032004,2014,9,28
2014.74332649,0.603379,0.143255,-0.100456,0.000859,0.000706,0.003444,0.028582,-0.011795,-0.017397,2014,9,29
2014.74606434,0.603480,0.142581,-0.100827,0.000888,0.000736,0.003625,0.036310,-0.031771,-0.018682,2014,9,30
2014.74880219,0.602368,0.142469,-0.102772,0.000853,0.000697,0.003425,0.015107,-0.016158,-0.028666,2014,10,1
2014.75154004,0.601575,0.141815,-0.101015,0.000899,0.000723,0.003561,0.035750,-0.028073,0.014034,2014,10,2
2014.75427789,0.603324,0.142230,-0.101992,0.000861,0.000710,0.003527,0.024173,-0.029036,-0.026424,2014,10,3
2014.75701574,0.605096,0.142838,-0.102925,0.000885,0.000733,0.003663,0.026918,-0.019267,-0.019801,2014,10,4
2014.75975359,0.601980,0.140443,-0.105156,0.000848,0.000699,0.003429,0.023380,-0.007969,-0.023447,2014,10,5
2014.76249144,0.601635,0.141819,-0.103784,0.000873,0.000724,0.003549,0.021548,-0.033281,-0.038328,2014,10,6
2014.76522930,0.603864,0.141767,-0.105870,0.000880,0.000732,0.003573,0.017508,-0.018724,-0.018536,2014,10,7
2014.76796715,0.606274,0.142591,-0.110683,0.000889,0.000737,0.003644,0.032596,-0.024920,-0.013272,2014,10,8
2014.77070500,0.601977,0.144207,-0.104036,0.000882,0.000730,0.003657,0.038275,-0.012784,-0.021994,2014,10,9
2014.77344285,0.602216,0.139117,-0.099779,0.000894,0.000738,0.003732,0.036025,-0.007873,-0.045224,2014,10,10
2014.77618070,0.603777,0.141059,-0.099885,0.000865,0.000717,0.003518,0.051678,0.003707,-0.021692,2014,10,11
2014.77891855,0.603568,0.144703,-0.102702,0.000844,0.000699,0.003424,0.037458,0.015560,0.010285,2014,10,12
2014.78165640,0.602638,0.140638,-0.102482,0.000870,0.000716,0.003543,0.035347,-0.001098,0.003674,2014,10,13
2014.78439425,0.606378,0.145390,-0.103815,0.000853,0.000714,0.003467,0.044541,0.010803,0.009681,2014,10,14
2014.78713210,0.605105,0.143453,-0.100130,0.000844,0.000705,0.003446,0.029253,-0.010166,0.007047,2014,10,15
2014.78986995,0.606529,0.146020,-0.101587,0.000872,0.000732,0.003554,0.016655,-0.031788,-0.012047,2014,10,16
2014.79260780,0.606209,0.145589,-0.101470,0.000865,0.000729,0.003515,0.017283,-0.006052,-0.003954,2014,10,17
2014.79534565,0.604632,0.148107,-0.103437,0.000848,0.000708,0.003468,0.027115,-0.008069,-0.010335,2014,10,18
2014.79808350,0.609717,0.147154,-0.102522,0.000891,0.000751,0.003620,0.020937,-0.016994,0.012612,2014,10,19
2014.80082136,0.608792,0.146393,-0.104518,0.000871,0.000743,0.003629,0.014425,-0.031429,-0.030263,2014,10,20
2014.80355921,0.606783,0.146384,-0.105586,0.000858,0.000715,0.003468,0.015166,-0.015445,0.006967,2014,10,21
2014.80629706,0.607117,0.147543,-0.102704,0.000868,0.000725,0.003480,0.036090,-0.004298,0.021923,2014,10,22
2014.80903491,0.609453,0.146422,-0.104433,0.000866,0.000751,0.003703,0.019660,0.031845,-0.017816,2014,10,23
2014.81177276,0.608453,0.147055,-0.099386,0.000827,0.000707,0.003386,0.025913,0.010379,-0.015894,2014,10,24
2014.81451061,0.607786,0.145575,-0.105115,0.000862,0.000743,0.003544,0.018981,-0.003902,-0.033718,2014,10,25
2014.81724846,0.608560,0.145287,-0.102371,0.000868,0.000762,0.003744,0.003821,0.012618,-0.042825,2014,10,26
2014.81998631,0.608125,0.145153,-0.098747,0.000869,0.000759,0.003672,0.009876,0.010995,-0.034495,2014,10,27
2014.82272416,0.608568,0.147165,-0.095999,0.000859,0.000740,0.003478,0.024795,-0.020088,-0.040877,2014,10,28
2014.82546201,0.610109,0.148132,-0.102726,0.000846,0.000742,0.003541,0.015749,-0.003973,-0.040293,2014,10,29
2014.82819986,0.609392,0.145349,-0.100366,0.000836,0.000725,0.003486,0.026857,-0.004508,-0.065041,2014,10,30
2014.83093771,0.610445,0.144379,-0.093167,0.000848,0.000725,0.003479,0.012358,-0.039836,-0.048658,2014,10,31
2014.83367556,0.610032,0.147557,-0.092852,0.000841,0.000733,0.003487,0.017237,-0.054669,-0.026335,2014,11,1
2014.83641342,0.610981,0.149705,-0.099493,0.000847,0.000744,0.003602,0.016023,-0.024508,0.009157,2014,11,2
2014.83915127,0.610013,0.144252,-0.101881,0.000889,0.000762,0.003723,-0.003231,-0.008199,0.007503,2014,11,3
2014.84188912,0.611693,0.149093,-0.099462,0.000835,0.000719,0.003406,0.019762,-0.035067,-0.032740,2014,11,4
2014.84462697,0.609531,0.148871,-0.107007,0.000856,0.000751,0.003655,0.012682,-0.001073,-0.037449,2014,11,5
2014.84736482,0.610299,0.147859,-0.099727,0.000842,0.000725,0.003449,0.022995,-0.042865,-0.025589,2014,11,6
2014.85010267,0.610294,0.145288,-0.100027,0.000832,0.000717,0.003395,0.020282,-0.038561,-0.040362,2014,11,7
2014.85284052,0.609952,0.148753,-0.094932,0.000838,0.000726,0.003415,0.017428,-0.024733,-0.027406,2014,11,8
2014.85557837,0.612723,0.146966,-0.100522,0.000866,0.000757,0.003550,0.003707,-0.044114,-0.013902,2014,11,9
2014.85831622,0.612928,0.147389,-0.090158,0.000849,0.000729,0.003445,0.017995,-0.004798,-0.062071,2014,11,10
2014.86105407,0.612200,0.146171,-0.087803,0.000837,0.000720,0.003403,0.015956,-0.035685,-0.059280,2014,11,11
2014.86379192,0.610775,0.147739,-0.094053,0.000831,0.000714,0.003359,0.014031,-0.034369,-0.054903,2014,11,12
2014.86652977,0.612508,0.146962,-0.081831,0.000862,0.000740,0.003470,-0.013834,-0.031802,-0.005206,2014,11,13
2014.86926762,0.610528,0.146017,-0.091132,0.000882,0.000760,0.003653,-0.015459,0.008711,-0.017740,2014,11,14
2014.87200548,0.611141,0.147528,-0.088937,0.000831,0.000723,0.003383,0.008497,-0.015717,-0.073852,2014,11,15
2014.87474333,0.612427,0.151438,-0.090614,0.000854,0.000743,0.003468,0.004936,-0.034204,-0.044112,2014,11,16
2014.87748118,0.611645,0.149045,-0.090090,0.000879,0.000765,0.003691,-0.026727,-0.029635,-0.033997,2014,11,17
2014.88021903,0.612028,0.146108,-0.092433,0.000929,0.000778,0.003701,-0.043328,-0.032029,-0.037204,2014,11,18
2014.88295688,0.612470,0.149705,-0.091327,0.000878,0.000763,0.003643,-0.028186,-0.001105,-0.060386,2014,11,19
2014.88569473,0.614272,0.149834,-0.089074,0.000865,0.000761,0.003540,-0.004802,-0.033655,-0.072787,2014,11,20
2014.88843258,0.613075,0.148003,-0.083503,0.000890,0.000756,0.003573,0.000945,-0.024669,-0.051986,2014,11,21
2014.89117043,0.610803,0.149770,-0.087339,0.000855,0.000752,0.003483,-0.016069,-0.045054,-0.077405,2014,11,22
2014.89390828,0.613237,0.151718,-0.083251,0.000848,0.000747,0.003430,-0.010378,-0.052087,-0.082201,2014,11,23
2014.89664613,0.616379,0.147969,-0.084343,0.000879,0.000780,0.003641,-0.034932,-0.021578,-0.057424,2014,11,24
2014.89938398,0.616476,0.150435,-0.088392,0.000863,0.000764,0.003462,-0.027983,-0.036143,-0.073437,2014,11,25
2014.90212183,0.614898,0.151879,-0.079403,0.000842,0.000748,0.003428,-0.006747,-0.039670,-0.089617,2014,11,26
2014.90485969,0.615476,0.148291,-0.084244,0.000856,0.000776,0.003626,-0.024453,-0.010277,-0.086260,2014,11,27
2014.90759754,0.614992,0.147757,-0.083486,0.000857,0.000748,0.003403,-0.001344,-0.067055,-0.064429,2014,11,28
2014.91033539,0.616196,0.150149,-0.090203,0.000852,0.000759,0.003415,-0.010485,-0.056806,-0.039364,2014,11,29
2014.91307324,0.613438,0.150038,-0.081568,0.000864,0.000764,0.003538,-0.037485,-0.022966,-0.039646,2014,11,30
2014.91581109,0.616185,0.153706,-0.091748,0.000823,0.000724,0.003340,0.010399,-0.036508,-0.064274,2014,12,1
2014.91854894,0.615117,0.152498,-0.092052,0.000829,0.000730,0.003381,0.001002,-0.040113,-0.076538,2014,12,2
2014.92128679,0.616819,0.154964,-0.092488,0.000828,0.000727,0.003353,0.002068,-0.044737,-0.075648,2014,12,3
2014.92402464,0.616906,0.152000,-0.083141,0.000821,0.000724,0.003313,-0.009653,-0.035035,-0.054292,2014,12,4
2014.92676249,0.616077,0.152517,-0.093021,0.000819,0.000721,0.003340,-0.008100,-0.032292,-0.057169,2014,12,5
2014.92950034,0.615174,0.154420,-0.084620,0.000822,0.000721,0.003325,-0.000345,-0.040570,-0.061194,2014,12,6
2014.93223819,0.616053,0.152880,-0.085854,0.000823,0.000724,0.003340,0.003615,-0.037033,-0.064439,2014,12,7
2014.93497604,0.616632,0.155729,-0.092367,0.000826,0.000725,0.003340,-0.000473,-0.048979,-0.065073,2014,12,8
2014.93771389,0.618528,0.153581,-0.088194,0.000820,0.000720,0.003315,-0.009619,-0.032504,-0.058890,2014,12,9
2014.94045175,0.616067,0.153846,-0.085790,0.000818,0.000723,0.003338,-0.006299,-0.019228,-0.047383,2014,12,10
2014.94318960,0.619077,0.154920,-0.095570,0.000863,0.000769,0.003598,0.008874,-0.020164,-0.016574,2014,12,11
2014.94592745,0.616579,0.153407,-0.093542,0.000827,0.000724,0.003346,-0.001729,-0.036528,-0.040259,2014,12,12
2014.94866530,0.618125,0.155735,-0.093637,0.000798,0.000705,0.003264,0.021696,-0.063205,-0.035704,2014,12,13
2014.95140315,0.618189,0.152657,-0.086839,0.000798,0.000704,0.003262,0.013948,-0.059765,-0.037816,2014,12,14
2014.95414100,0.618039,0.153570,-0.087737,0.000799,0.000707,0.003283,0.009641,-0.039197,-0.014492,2014,12,15
2014.95687885,0.620155,0.153911,-0.093381,0.000821,0.000713,0.003316,0.024132,-0.031451,-0.023887,2014,12,16
2014.95961670,0.618319,0.155401,-0.088958,0.000818,0.000714,0.003298,0.033120,-0.040089,-0.028920,2014,12,17
2014.96235455,0.617687,0.155519,-0.090314,0.000785,0.000707,0.003216,0.024016,-0.066574,-0.024963,2014,12,18
2014.96509240,0.619549,0.152604,-0.086288,0.000791,0.000720,0.003277,0.009817,-0.077296,-0.011810,2014,12,19
2014.96783025,0.617189,0.153753,-0.083838,0.000802,0.000700,0.003234,-0.004141,-0.048031,-0.038996,2014,12,20
2014.97056810,0.612550,0.152862,-0.095617,0.000786,0.000702,0.003206,0.020067,-0.060745,-0.013684,2014,12,21
2014.97330595,0.619096,0.155028,-0.088647,0.000797,0.000742,0.003316,0.036752,-0.116920,-0.033551,2014,12,22
2014.97604381,0.619845,0.152691,-0.090974,0.000785,0.000704,0.003225,0.020607,-0.064150,-0.021725,2014,12,23
2014.97878166,0.621246,0.156144,-0.087295,0.000781,0.000702,0.003207,0.023477,-0.072817,-0.019531,2014,12,24
2014.98151951,0.619532,0.154064,-0.078084,0.000824,0.000718,0.003302,0.037075,-0.067473,0.009189,2014,12,25
2014.98425736,0.620837,0.153638,-0.079536,0.000790,0.000703,0.003226,0.021687,-0.057039,-0.003003,2014,12,26
2014.98699521,0.618988,0.155071,-0.082059,0.000786,0.000701,0.003214,0.015919,-0.066280,-0.009697,2014,12,27
2014.98973306,0.621276,0.153046,-0.084360,0.000785,0.000703,0.003232,0.023809,-0.066341,-0.013440,2014,12,28
2014.99247091,0.621071,0.154422,-0.083345,0.000810,0.000710,0.003269,0.012366,-0.085859,0.011223,2014,12,29
2014.99520876,0.622570,0.154483,-0.080027,0.000787,0.000701,0.003228,0.022772,-0.079205,-0.013467,2014,12,30
2014.99794661,0.619022,0.154712,-0.084508,0.000828,0.000741,0.003358,0.044412,-0.080449,0.016358,2014,12,31
